zip,latitude,longitude,zip_code
73301,30.326374,-97.771258,73301
73344,30.326374,-97.771258,73344
78701,30.27127,-97.74103,78701
78702,30.265158,-97.71879,78702
78703,30.290907,-97.76277,78703
78704,30.246309,-97.76087,78704
78705,30.292424,-97.73856,78705
78708,30.326374,-97.771258,78708
78709,30.326374,-97.771258,78709
78710,30.351953,-97.715123,78710
78711,30.326374,-97.771258,78711
78712,30.285207,-97.735394,78712
78713,30.468583,-97.843336,78713
78714,30.335787,-97.443751,78714
78715,30.450088,-97.486509,78715
78716,30.316223,-97.85877,78716
78717,30.494623,-97.75687,78717
78718,30.326374,-97.771258,78718
78719,30.163458,-97.67711,78719
78720,30.326374,-97.771258,78720
78721,30.272925999999998,-97.68665,78721
78722,30.289307,-97.71659,78722
78723,30.306507,-97.68651,78723
78724,30.294148,-97.62863,78724
78725,30.231583,-97.60992,78725
78726,30.439053,-97.83503,78726
78727,30.425652,-97.71419,78727
78728,30.451803,-97.67989,78728
78729,30.451348,-97.76588,78729
78730,30.359935,-97.83125,78730
78731,30.344305,-97.7638,78731
78732,30.382724,-97.89459,78732
78733,30.329704,-97.8751,78733
78734,30.378675,-97.95028,78734
78735,30.250761,-97.84469,78735
78736,30.245558,-97.94177,78736
78737,30.19025,-97.95854,78737
78738,30.340111,-97.98869,78738
78739,30.17207,-97.87284,78739
78741,30.231252,-97.716,78741
78742,30.23358,-97.67831,78742
78744,30.188377,-97.74038,78744
78745,30.207559,-97.79575,78745
78746,30.287739,-97.8022,78746
78747,30.132855,-97.76187,78747
78748,30.17202,-97.82265,78748
78749,30.216108,-97.85828,78749
78750,30.438933,-97.80383,78750
78751,30.310707,-97.723,78751
78752,30.332506,-97.70571,78752
78753,30.374654,-97.67621,78753
78754,30.354234,-97.64679,78754
78755,30.326374,-97.771258,78755
78756,30.320206,-97.74177,78756
78757,30.349455,-97.73328,78757
78758,30.384204,-97.70392,78758
78759,30.406169,-97.75743,78759
78760,30.326374,-97.771258,78760
78761,30.326374,-97.771258,78761
78762,30.326374,-97.771258,78762
78763,30.335398,-97.559807,78763
78764,30.445502,-97.659533,78764
78765,30.326374,-97.771258,78765
78766,30.442202,-97.62333,78766
78767,30.222007,-97.896285,78767
78768,30.326374,-97.771258,78768
78769,30.326374,-97.771258,78769
78771,30.326374,-97.771258,78771
78772,30.326374,-97.771258,78772
78773,30.326374,-97.771258,78773
78774,30.326374,-97.771258,78774
78778,30.326374,-97.771258,78778
78779,30.326374,-97.771258,78779
78780,30.326374,-97.771258,78780
78781,30.326374,-97.771258,78781
78782,30.326374,-97.771258,78782
78783,30.326374,-97.771258,78783
78785,30.326374,-97.771258,78785
78786,30.326374,-97.771258,78786
78787,30.326374,-97.771258,78787
78788,30.326374,-97.771258,78788
78789,30.326374,-97.771258,78789
78798,30.37,-97.68,78798
78799,30.27,-97.74,78799
78972,30.31536,-97.663293,78972
